species_name,mode,keep
Nectria saoria,NA,No
Nectria spp.,NA,No
Nectria wilsoni,NA,No
No species found,NA,Yes
Nodilittorina pyramidalis,invert_herbivore,Yes
Notochlamys hexactes,NA,No
Notocypraea angustata,invert_herbivore,Yes
Notocypraea comptoni,invert_herbivore,Yes
Notocypraea declivis,invert_herbivore,Yes
Noumea closei,NA,No
Nudibranchia spp.,NA,No
Octopus berrima,NA,No
Octopus spp.,NA,No
Octopus tetricus,NA,No
Odontotrochus chlorostomus,NA,No
Ophidiaster confertus,NA,No
Ozius truncatus,NA,No
Paguridae spp.,NA,No
Paguristes brevirostris,NA,No
Paguristes frontalis,NA,No
Paguristes purpureantennatus,NA,No
Pagurixus handrecki,NA,No
Paguroidea spp.,NA,No
Pagurus sinuatus,NA,No
Paragrapsus quadridentatus,NA,No
Paranepanthia grandis,NA,No
Parvulastra exigua,NA,Yes
Patella (Scutellastra) chapmani,invert_herbivore,Yes
Patelloida alticostata,NA,No
Pecten fumatus,NA,No
Penion mandarinus,NA,No
Penion maximus,NA,No
Pentagonaster dubeni,NA,No
Pentagonaster duebeni,NA,No
Petricia vernicina,NA,No
Petrocheles australiensis,NA,No
Phasianella australis,invert_herbivore,Yes
Phasianella spp.,invert_herbivore,Yes
Phasianella ventricosa,invert_herbivore,Yes
Phasianotrochus apicinus,NA,No
Phasianotrochus eximius,NA,No
Phasianotrochus rutilus,NA,No
Phyllacanthus imperialis,invert_herbivore,Yes
Phyllacanthus irregularis,invert_herbivore,Yes
Phyllacanthus parvispinus,invert_herbivore,Yes
Phyllidiella pustulosa,NA,No
Phyllidiella spp.,NA,No
Phyllodesmium serratum,NA,No
Pilumnus monilifer,NA,No
Pinna bicolor,NA,No
Plagusia chabrus,NA,No
Plectaster decanus,NA,No
Pleurobranchaea maculata,NA,No
Pleurobranchidae spp.,NA,No
Pleuroploca australasia,invert_herbivore,Yes
Prothalotia lehmanni,invert_herbivore,Yes
Pseudoboletia indiana,invert_herbivore,Yes
Pseudonepanthia troughtoni,NA,No
Pseudopallene ambigua,NA,No
Pteraeolidia ianthina,NA,No
Pterynotus spp.,NA,No
Pterynotus triformis,NA,No
Pycnogonida spp.,NA,No
Ranella australasia,NA,No
Rhynchocinetes australis,NA,No
Rhynchocinetes serratus,NA,No
Sagaminopteron ornatum,NA,No
Sagmariasus verreauxi,NA,No
Sassia parkinsonia,NA,No
Sassia spp.,NA,No
Sassia subdistorta,NA,No
Sassia verrucosa,NA,No
Schizophrys aspera,NA,No
Scutus antipodes,invert_herbivore,Yes
Scyllarides haanii,NA,No
Scyllarides squammosus,NA,No
Semicassis pyrum,NA,No
Semipallium aktinos,NA,No
Sepia apama,NA,No
Sepia mestus,NA,No
Sepia plangon,NA,No
Sepia spp.,NA,No
Sepioteuthis australis,NA,No
Smilasterias multipara,NA,No
Stichopus ludwigi,NA,No
Strigopagurus strigimanus,NA,No
Strombus luhuanus,invert_herbivore,Yes
Tambja verconis,NA,No
Terebra spp.,NA,No
Thalamita admete,NA,No
Thalotia conica,NA,No
Tosia australis,NA,No
Tosia magnifica,NA,No
Tosia neossia,NA,No
Tripneustes gratilla,NA,Yes
Turbo cepoides,invert_herbivore,Yes
Turbo jourdani,invert_herbivore,Yes
Turbo spp.,NA,No
Turbo torquatus,invert_herbivore,Yes
Turbo undulatus,invert_herbivore,Yes
Tylodina corticalis,NA,No
Umbraculum umbraculum,NA,No
Unidentified crab,NA,No
Unidentified gastropod,NA,No
Unidentified gastropod (cowrie),NA,No
Unidentified nudibranch,NA,No
Unidentified pycnogonid,NA,No
Unidentified shrimp,NA,No
Uniophora granifera,NA,No
Uniophora nuda,NA,No
Upogebia spp.,NA,No
Verconia haliclona,NA,No
Verconia verconis,NA,No
Zoila friendii,NA,No
