plants_present,species,mode
NA,Thalassoma lutescens,predator
NA,Chromis kennensis,predator
NA,Anampses femininus,predator
NA,Ptereleotris microlepis,predator
NA,Stethojulis trilineata,predator
NA,Chaetodon tricinctus,NA
NA,Synodus jaculum,predator
NA,Blenniidae spp.,omnivore
NA,Macropharyngodon meleagris,predator
NA,Caretta caretta,NA
NA,Nesogobius sp. 4 [groovedcheek],predator
NA,Acanthistius cinctus,predator
NA,Sardinops neopilchardus,NA
NA,Notolabrus inscriptus,predator
NA,Callogobius depressus,NA
NA,Ptereleotris hanae,predator
NA,Naso spp.,herbivore
NA,Pomacentridae spp.,omnivore
NA,Trygonoptera spp.,predator
NA,Urolophus sufflavus,predator
NA,Apogon doederleini,predator
NA,Petroscirtes lupus,herbivore
NA,Seriola hippos,predator
NA,Sufflamen fraenatum,omnivore
NA,Gobiidae spp.,NA
NA,Paramonacanthus otisensis,herbivore
NA,Cristiceps argyropleura,predator
NA,Caesio spp.,predator
NA,Trygonoptera spp1,predator
NA,Meuschenia spp.,predator
NA,Enneapterygius spp.,predator
NA,New bovichthyid,NA
NA,Kyphosus gibsoni,predator
NA,Sarda spp.,NA
NA,Belonidae spp.,predator
NA,Cleidopus gloriamaris,predator
NA,Stegastes gascoynei,herbivore
NA,Enchelycore ramosa,predator
NA,Cheilodactylus ephippium,predator
NA,Kyphosus spp.,NA
NA,Pseudanthias pictilis,predator
NA,Cirrhilabrus punctatus,predator
NA,Pseudojuloides cerasinus,predator
NA,Coris aurilineata,predator
NA,Apogonidae spp.,NA
NA,Ptereleotris spp.,NA
NA,Torquigener squamicauda,predator
NA,Chrysiptera notialis,NA
NA,Hippocampus angustus,predator
NA,Parapercis australis,predator
NA,Caesionidae spp.,NA
NA,Ostorhinchus taeniophorus,NA
NA,Unidentified squid,NA
NA,Macroctopus maorum,MA
NA,Notolabrus tetricus/fucicola hybrid,predator
NA,Octopus spp.,NA
NA,Trianectes bucephalus,predator
NA,Arctocephalus spp.,NA
NA,Arothron firmamentum,predator
NA,Forsterygion varium,predator
NA,Latridopsis ciliaris,predator
NA,Spiniraja whitleyi,predator
NA,Stigmatopora nigra,predator
NA,Gnathanacanthus goetzeei,predator
NA,Carangidae spp.,predator
NA,Aploactisoma milesii,predator
NA,Paratrachichthys spp.,predator
NA,Latris lineata,predator
NA,Lepidotrigla papilio,predator
NA,Paratrachichthys macleayi,predator
NA,Dipturus whitleyi,predator
NA,Nesogobius hinsbyi,predator
NA,Unidentified pipefish,NA
NA,Parapercis spp.,predator
NA,Norfolkia spp.,NA
NA,Nesogobius sp. (Jervis or flecks),NA
NA,Contusus brevicaudus,NA
NA,Spratelloides spp.,NA
NA,Aspasmogaster tasmaniensis,omnivore
NA,Lovettia sealii,predator
NA,Heteroclinus kuiteri,NA
NA,Platycephalidae spp.,predator
NA,Trygonorrhina dumerilii,predator
NA,Atherinidae spp.,NA
NA,Nesogobius maccullochi,NA
NA,Nesogobius sp. 2,NA
NA,Sepia spp.,NA
NA,Heteroclinus adelaidae,predator
NA,Heteroclinus wilsoni,predator
NA,Forsterygion gymnotum,NA
NA,Favonigobius lateralis,predator
NA,Arenigobius bifrenatus,predator
NA,Hirundichthys rufipinnis,predator
NA,Contusus richei,predator
NA,Pseudorhiza haeckeli,NA
NA,Kathetostoma laeve,predator
NA,Hippocampus spp.,predator
NA,Atherinason hepsetoides,predator
NA,Rhombosolea tapirina,predator
NA,Coris auricularis,predator
NA,Halichoeres brownfieldi,predator
NA,Pelsartia humeralis,omnivore
NA,Pictilabrus viridis,NA
NA,Caesioscorpis theagenes,predator
NA,Cheilodactylus rubrolabiatus,NA
NA,Epinephelides armatus,predator
NA,Trachinops brauni,predator
NA,Trygonoptera ovalis,predator
NA,Schuettea woodwardi,predator
