species,herbivore
Acanthurus auranticavus,
Acanthurus bariene,
Acanthurus blochii,
Acanthurus dussumieri,
Acanthurus grammoptilus,
Acanthurus lineatus,
Acanthurus maculiceps,
Acanthurus nigricans,
Acanthurus nigricauda,
Acanthurus nigrofuscus,
Acanthurus olivaceus,
Acanthurus pyroferus,
Acanthurus triostegus,
Acanthurus xanthopterus,
Amblypneustes elevatus,
Amblypneustes ovum,
Amblypneustes spp.,
Bolbometopon muricatum,
Calotomus carolinus,
Centrostephanus rodgersii,
Cetoscarus bicolor,
Chlorurus bleekeri,
Chlorurus frontalis,
Chlorurus japanensis,
Chlorurus microrhinos,
Chlorurus sordidus,
Ctenochaetus spp.,
Dischistodus melanotus,
Dischistodus perspicillatus,
Dischistodus prosopotaenia,
Dischistodus pseudochrysopoecilus,
Echinometra mathaei,
Goniocidaris tubaria,
Haliotis laevigata,
Haliotis rubra,
Haliotis scalaris,
Heliocidaris erythrogramma,
Heliocidaris tuberculata,
Hemiglyphidodon plagiometopon,
Hipposcarus longiceps,
Holopneustes inflatus,
Holopneustes porosissimus,
Holopneustes purpurascens,
Holopneustes spp.,
Naso lituratus,
Naso tuberosus,
Naso unicornis,
Neoglyphidodon nigroris,
Phyllacanthus parvispinus,
Plectroglyphidodon dickii,
Plectroglyphidodon johnstonianus,
Plectroglyphidodon lacrymatus,
Pomacentridae spp.,
Pomacentrus adelus,
Pomacentrus chrysurus,
Pomacentrus grammorhynchus,
Pomacentrus nigromarginatus,
Pomacentrus wardi,
Pseudoboletia indiana,
Scarus altipinnis,
Scarus chameleon,
Scarus dimidiatus,
Scarus flavipectoralis,
Scarus forsteni,
Scarus frenatus,
Scarus ghobban,
Scarus globiceps,
Scarus longipinnis,
Scarus niger,
Scarus oviceps,
Scarus psittacus,
Scarus rivulatus,
Scarus rubroviolaceus,
Scarus schlegeli,
Scarus spinus,
Siganus argenteus,
Siganus corallinus,
Siganus doliatus,
Siganus javus,
Siganus lineatus,
Siganus puellus,
Siganus punctatissimus,
Siganus punctatus,
Siganus spinus,
Siganus vulpinus,
Stegastes apicalis,
Stegastes fasciolatus,
Stegastes gascoynei,
Stegastes nigricans,
Tripneustes gratilla,
Turbo torquatus,
Turbo undulatus,
Zebrasoma scopas,
Zebrasoma veliferum,
