species,sample_type,sample_subtype,classcode,Kingdom,Phylum,Class,Order,Family,Genus,Species,species_definition,taxonomic_source,common_name,mode,keep
ATRIDA,SWATH,INVERT,ATRIDA,Animalia,Mollusca,Gastropoda,Neogastropoda,Mitridae,Atrimitra,idae,Atrimitra idae,WoRMS,Ida's Miter,,no
ATRIDA,QUAD,INVERT,ATRIDA,Animalia,Mollusca,Gastropoda,Neogastropoda,Mitridae,Atrimitra,idae,Atrimitra idae,WoRMS,Ida's Miter,,no
AVUL,FISH,FISH,AVUL,Animalia,Chordata,Elasmobranchii,Lamniformes,Alopiidae,Alopias,vulpinus,Alopias vulpinus,WoRMS,Thresher Shark,,no
BAITBALL,FISH,FISH,BAITBALL,Animalia,Chordata,Actinopterygii,Clupeiformes,NA,NA,NA,Clupeiformes,WoRMS,"Bait, Sardines/Anchovies",,no
BALNUB,SWATH,INVERT,BALNUB,Animalia,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,nubilus,Balanus nubilus,WoRMS,Barnacle,,no
BARNAC,UPC,COVER,BARNAC,Animalia,Arthropoda,Hexanauplia,NA,NA,NA,NA,Cirripedia,WoRMS,Barnacle,,no
BARROC,UPC,COVER,BARROC,NA,NA,NA,NA,NA,NA,NA,Bare Rock,PISCO,Bare Rock,,no
BARSAN,UPC,COVER,BARSAN,NA,NA,NA,NA,NA,NA,NA,Bare Sand,PISCO,Bare Sand,,no
BATH,FISH,FISH,BATH,Animalia,Chordata,Actinopterygii,Perciformes,Bathymasteridae,Bathymasteridae,spp,Bathymasteridae,WoRMS,Ronquils,,no
BFRE,FISH,FISH,BFRE,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Brachyistius,frenatus,Brachyistius frenatus,WoRMS,Kelp Surfperch,,no
BLEN,FISH,FISH,BLEN,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Blenniidae,spp,Blenniidae,WoRMS,Blennies,,no
BOTH,FISH,FISH,BOTH,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Bothidae,Bothidae,spp,Bothidae,WoRMS,Lefteyed Flounders,,no
BPOL,FISH,FISH,BPOL,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,Balistes,polylepis,Balistes polylepis,WoRMS,Finescale Triggerfish,,no
BRANCH,UPC,COVER,BRANCH,Plantae,Rhodophyta,NA,NA,NA,NA,NA,Red Algae (Branching Flat Blade),PISCO,Red Algae (Branching Flat Blade),algae,yes
BRAY,FISH,FISH,BRAY,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Myliobatis,californica,Myliobatis californica,WoRMS,Bat Ray,,no
BROWN,UPC,COVER,BROWN,Chromista,Ochrophyta,Phaeophyceae,NA,NA,NA,NA,Phaeophyceae,WoRMS,Brown Algae,algae,yes
BRYO,UPC,COVER,BRYO,Animalia,Bryozoa,NA,NA,NA,NA,NA,Bryozoa,WoRMS,Bryozoan,,no
BUSHY,UPC,COVER,BUSHY,Plantae,Rhodophyta,NA,NA,NA,NA,NA,Red Algae (Cylindrical Branches),PISCO,Red Algae (Cylindrical Branches),,yes
BUSHY00,UPC,COVER,BUSHY00,Plantae,Rhodophyta,NA,NA,NA,NA,NA,Red Alga With Cylindrical Branches. Definition Used In 2000,PISCO,Red Alga With Cylindrical Branches. Definition Used In 2000,,yes
CAGG,FISH,FISH,CAGG,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Cymatogaster,aggregata,Cymatogaster aggregata,WoRMS,Shiner Surfperch,,no
CALSPP,SWATH,INVERT,CALSPP,Animalia,Mollusca,Gastropoda,Trochida,Calliostomatidae,Calliostoma,spp,Calliostoma,WoRMS,Top Snail,invert_herbivore,yes
CANA,FISH,FISH,CANA,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Clinocottus,analis,Clinocottus analis,WoRMS,Wooly Sculpin,,no
CANSPP,SWATH,INVERT,CANSPP,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,NA,NA,Cancridae,WoRMS,Cancer Crab,,no
CENCOR,SWATH,INVERT,CENCOR,Animalia,Echinodermata,Echinoidea,Diadematoida,Diadematidae,Centrostephanus,coronatus,Centrostephanus coronatus,WoRMS,"Coronado Urchin, Crowned Urchin",invert_herbivore,yes
CENCOR,QUAD,INVERT,CENCOR,Animalia,Echinodermata,Echinoidea,Diadematoida,Diadematidae,Centrostephanus,coronatus,Centrostephanus coronatus,WoRMS,"Coronado Urchin, Crowned Urchin",invert_herbivore,yes
